,index,Name,Preparation time,Cooking time,Serves,Ingredients,Meal,Method,Dietary,id_list,amounts,links
0,1,Easy spaghetti bolognese,less than 30 mins,30 mins to 1 hour,4,"{""olive oil"": ""2 tbsp"", ""beef mince"": ""400g/14oz"", ""onion"": ""1 , diced"", ""garlic"": ""2  cloves, chopped"", ""carrot"": ""100g/3\u00bdoz , grated"", ""tomatoes"": ""2 x 400g tin chopped"", ""stock"": ""400ml/14fl oz  (made from  cube. Ideally beef, but any will do)"", ""spaghetti"": ""400g/14oz dried"", ""salt and pepper"": ""None""}",dinner,"Heat a large saucepan over a medium heat. Add a tablespoon of olive oil and once hot add the beef mince and a pinch of salt and pepper. Cook the mince until well browned over a medium-high heat (be careful not to burn the mince. It just needs to be a dark brown colour). Once browned, transfer the mince to a bowl and set aside.;Add another tablespoon of oil to the saucepan you browned the mince in and turn the heat to medium. Add the onions and a pinch of salt and fry gently for 5-6 minutes, or until softened and translucent. Add the garlic and cook for another 2 minutes. Add the grated carrot then pour the mince and any juices in the bowl back into the saucepan.;Add the tomatoes to the pan and stir well to mix. Pour in the stock, bring to a simmer and then reduce the temperature to simmer gently for 45 minutes, or until the sauce is thick and rich. Taste and adjust the seasoning as necessary.;When ready to cook the spaghetti, heat a large saucepan of water and add a pinch of salt. Cook according to the packet instructions. Once the spaghetti is cooked through, drain and add to the pan with the bolognese sauce. Mix well and serve.;",,"['114', '287', '218', '248', '195', 105, '181', '132', '87']","[30, 400, 1, 2, 100, 400, 400, 400]",https://www.bbc.co.uk/food/recipes/easy_spaghetti_bolognese_93639
1,2,Quick chicken stew,less than 30 mins,10 to 30 mins,4,"{""olive oil"": ""1 tbsp light"", ""onion"": ""1 , roughly chopped"", ""garlic"": ""2  cloves, finely chopped"", ""chicken thighs"": ""8 , boneless, skin removed, cut into bite-sized pieces"", ""chicken stock"": ""700ml/1\u00bc pint"", ""plain flour"": ""2 level tbsp"", ""wholegrain mustard"": ""1 level tbsp"", ""star anise"": ""1  (optional)"", ""cinnamon"": ""1  stick"", ""celery"": ""2  sticks, sliced"", ""carrots"": ""2 large , peeled and cut into 1.5cm/\u00bdin cubes"", ""new potatoes"": ""300g/10\u00bdoz small , scrubbed and halved"", ""soya beans"": ""200g/7oz frozen  (edamame), defrosted"", ""tarragon"": ""2 tbsp finely chopped fresh"", ""black pepper"": ""salt and freshly ground""}",dinner,"Heat the oil in a wide frying pan over a medium heat. Add the onion, garlic and chicken and stir-fry for 2–3 minutes.;Meanwhile, pour the stock into a saucepan and bring to the boil.;Stir the flour into the chicken and gradually add the hot stock. Stir in the mustard, star anise, cinnamon, celery, carrots and potatoes. Bring to the boil, cover and reduce the heat to medium. Cook for 15–20 minutes.;Uncover, increase the heat, and cook for 5 minutes, or until the chicken is cooked through and the vegetables are tender.;Stir in the soya beans and cook for 2–3 minutes. Season well and stir in the tarragon. Serve immediately in four warm bowls.;",,"['114', '218', '248', 220, '283', 144, 128, '201', '25', '269', 195, 88, '130', '133', '89']","[15, 1, 2, 8, 700, 30, 15, 1, 1, 2, 2, 300, 200, 30, -1]",https://www.bbc.co.uk/food/recipes/quick_chicken_and_92543
2,3,Toad in the hole,1-2 hours,30 mins to 1 hour,4,"{""plain flour"": ""175g/6oz"", ""black pepper"": ""salt and"", ""eggs"": ""3 free-range"", ""milk"": ""300ml/10fl oz"", ""olive oil"": ""\u00bd tbsp"", ""sausages"": ""8"", ""onions"": ""2 , finely sliced"", ""English mustard"": ""\u00bd tsp"", ""stock"": ""500ml/18fl oz  (from a  cube, ideally beef although chicken or vegetable is fine)"", ""Savoy cabbage"": ""1 , shredded, core discarded"", ""garlic"": ""2  cloves, peeled and finely chopped""}",dinner,"For the batter, sieve the flour into a bowl and season with salt and pepper. Make a well in the middle and break in the eggs. Whisk the eggs slowly into the flour. Once combined, pour in the milk while you whisk so that you have a smooth, lump-free batter the consistency of double cream (if the batter is too thick then add a little water). Cover the batter and rest in the fridge for one hour.;Preheat the oven to 200C/180C Fan/Gas 6.;For the onion gravy, heat a heavy-based frying pan over a low heat. Add the oil, onions and a pinch of salt. Cook gently for 15–20 minutes, or until completely collapsed and dark golden-brown in colour. If the onions are cooking too quickly, then cover with a lid while they cook.;Once the onions are completely softened and dark golden-brown, stir in the mustard and a pinch of pepper and then add the stock. Bring the mixture to the boil, reduce to a simmer and simmer for 10–15 minutes, or until the volume of liquid has reduced by half. Taste and adjust the seasoning as necessary.;Put a roasting tray (about 30x20x6cm/12x8x2½in) into the preheated oven. Once really hot, add the olive oil and the sausages. Brown the sausages in the hot oven, turning now and again until coloured on all sides (they don’t need to be cooked through).;Whisk the rested batter and pour it into the hot tin over the browned sausages. Return to the oven and cook for a further 30–35 minutes, or until the batter is risen and golden-brown all over.;While the toad in the hole is cooking, prepare the cabbage. Wilt the shredded cabbage in a high sided frying pan or shallow saucepan with 3–4 tablespoons of water over a medium high heat for 6–8 minutes, stirring occasionally. Once the cabbage is tender pour off any excess water (or add it to the gravy) and then add the oil to the pan along with the garlic. Fry over a medium high heat for 2–3 minutes, or until the garlic is softened and aromatic. Season the cabbage with salt and pepper and keep warm.;Reheat the onion gravy and serve the cooked toad in the hole in wedges with the cabbage alongside.;",,"['144', '89', 110, '168', '114', 81, 218, 128, '181', 164, '248']","[175, -1, 3, 300, 8, 8, 2, 3, 500, 1, 2]",https://www.bbc.co.uk/food/recipes/toad_in_the_hole_with_86283
3,4,Irish beef stew,less than 30 mins,1 to 2 hours,6,"{""vegetable oil"": ""2 tbsp"", ""braising steak"": ""1kg/2lb 4oz , cut into 2.5cm/1in chunks"", ""onions"": ""2"", ""celery"": ""3  stalks"", ""carrots"": ""4 large"", ""beef stock"": ""1 litre/1\u00bepint  (from stock cubes)"", ""potatoes"": ""900g/2lb"", ""butter"": ""25g/1oz unsalted"", ""black pepper"": ""sea salt and freshly ground""}",dinner,"Preheat the oven to 200C/180C Fan/Gas 6. Place a large saucepan over a high heat, add 1 tablespoon of the oil and brown the beef in batches so the pan isn't too full. Remove the beef from the pan and set aside on a plate. Don't clean the pan, as you'll need it to fry the vegetables.;While the beef is frying, peel and chop the onions and carrots and slice the celery.;Heat the remaining oil in the same saucepan and fry the onion, celery and carrot for 4–5 minutes, or until the onions have softened. Scrape any cooked on bits from the bottom of the pan; this will add flavour to the stew. Season with salt and pepper. ;Mix the beef with the vegetables, then take the pan off the heat. Tip the meat and vegetables into a large ovenproof dish and pour the stock over the top.;Peel and slice the potatoes into ½cm/¼in-thick slices and arrange over the top of the beef. Dot the butter over the top, then cover tightly with foil. Bake for 1 hour, then remove the foil and bake for a further 15 minutes, until the potatoes are crisp and golden-brown. Serve in deep bowls. ;",,"['193', 251, '218', '269', '195', '78', '282', '153', '89']","[30, 1000, 2, 3, 4, 1000, 900, 25, -1]",https://www.bbc.co.uk/food/recipes/donals_irish_beef_stew_85494
4,5,Easy chicken casserole,less than 30 mins,1 to 2 hours,4,"{""chicken thighs"": ""8 bone-in, skin-on  (around 850g/1lb 14oz)"", ""sunflower oil"": ""1 tbsp olive or"", ""onion"": ""1 , thinly sliced"", ""bacon"": ""4 rashers smoked back , cut into roughly 2cm/\u00bein slices"", ""mushrooms"": ""150g/5\u00bdoz small , halved or quartered if larger"", ""carrots"": ""3 medium , peeled and cut into roughly 1.5cm/\u215din slices"", ""plain flour"": ""20g/\u00beoz  (around 2 tbsp)"", ""thyme"": ""1 tsp dried  or 1 tbsp fresh  leaves"", ""chicken stock"": ""500ml/18fl oz hot  (made with 1 stock cube)"", ""leek"": ""1 medium , trimmed and cut into roughly 1cm/\u00bdin slices"", ""black pepper"": ""salt and freshly ground""}",dinner,"Preheat the oven 190C/170C Fan/Gas 5. Season the chicken thighs all over with a little salt and lots of black pepper. ;Heat the oil in a large non-stick frying pan over a medium heat and fry the chicken for 7–8 minutes, skin-side down, or until the skin is nicely browned. Turn and cook on the other side for 3 minutes more. Transfer to a plate.;Return the pan to the heat and add the onion, bacon and mushrooms. Fry over a medium-high heat for 4–5 minutes, or until lightly browned, stirring regularly. Tip into a medium, lidded oven-safe pan or casserole. Add the carrots and flour and toss together well.;Sprinkle with the thyme, then pour in the stock, a little at a time, stirring well between each addition. Add the chicken pieces back to the pan and bring to a gentle simmer. Cover the pan with a lid.;Place in the oven and cook for 45 minutes. Take out of the oven and stir in the leeks. Return to the oven for a further 15 minutes, or until the chicken and leeks are tender and the sauce has thickened. Serve.;",,"['220', '24', '218', '191', 37, '195', '144', '229', '283', '135', '89']","[850, 15, 1, 4, 150, 3, 20, 5, 500, 1, -1]",https://www.bbc.co.uk/food/recipes/chickencasserole_85719
5,6,Triple-cooked chips,less than 30 mins,30 mins to 1 hour,4,"{""potatoes"": ""1kg/2lb 4oz , preferably Maris Piper"", ""sunflower oil"": ""groundnut or , for deep-frying"", ""sea salt"": ""flaked""}",dinner,"Cut the potatoes into thick chips about 6cm/2½in long and 1.5cm/⅝in thick. Rinse them in cold water to remove as much starch as possible, then put them in a large saucepan – make sure the chips have plenty of room so you can take them out easily.;Cover the chips with lots of cold water (as much as you can get in the pan without it boiling over) and slowly bring to the boil. Simmer gently for 20–25 minutes, until the potatoes are knife tender and lines and cracks start to develop. Using a slotted spoon, carefully remove the chips from the saucepan – don’t tip them into a colander, or they will fall apart. Drain on kitchen paper and gently pat dry.;Half-fill a deep-fat fryer or a large saucepan with oil and heat it to 130C. (CAUTION: hot oil can be dangerous. Do not leave unattended.) Fry the chips in a couple of batches, until they have developed a crust but not taken on any colour – this will take about 5 minutes. Remove each batch when it’s ready and set aside.;Now heat the oil to 180C. Return the chips to the pan, again in a couple of batches, and fry for 1–2 minutes until they are very crisp and deep golden brown. Drain on kitchen paper, sprinkle with salt and serve immediately.;",Vegetarian,"['282', '24', '136']","[1000, -1, -1]",https://www.bbc.co.uk/food/recipes/triple-cooked_chips_66210
6,7,French onion soup,less than 30 mins,30 mins to 1 hour,4,"{""butter"": ""50g/2oz"", ""onions"": ""1kg/2lb 4oz , thinly sliced"", ""garlic"": ""2 cloves , cut in half"", ""white wine"": ""100ml/3\u00bdfl oz"", ""Madeira"": ""2 tbsp , plus extra once cooked, to taste (optional)"", ""beef stock"": ""1 litre/1\u00be pint"", ""pepper"": ""salt and freshly ground black"", ""parsley"": ""chopped  to garnish"", ""French bread"": ""8 thick slices"", ""gruy\u00e8re"": ""100g/3\u00bdoz  , grated""}",dinner,"Melt the butter in a medium-sized ovenproof pan, add the onions and garlic and gently fry over a low heat for 30-35 minutes, stirring occasionally, until the onions are really soft and a rich dark brown colour. This stage of the recipe is really important, the long slow cooking of the onions gives this soup its lovely rich flavour and colour.;Add the white wine, stirring the bottom of the pan to loosen all the browned onion. Bring it back to the boil then add the Madeira and beef stock.;Bring to the boil and then simmer for about 10-12 minutes.;Meanwhile make the croutons. Toast the bread on both sides and rub the toast with the cut side of a garlic clove. Top with the grated cheese and place under the grill until the cheese has melted. ;Taste the soup to check the seasoning, and add salt and freshly ground black pepper to taste. Add another few tablespoons of Madeira to the soup, to boost the flavour and stir well. ;Lay the croûtons on top of the soup and scatter with fresh chopped parsley.;To serve, ladle the soup into bowls, making sure each serving has a cheesy croûton. Serve immediately, before the croûton goes soggy. ;",,"['153', '218', '248', '169', 26, '78', '118', '289', 196, 119]","[50, 1000, 2, 100, 30, 1000, -1, -1, 8, 100]",https://www.bbc.co.uk/food/recipes/how_to_make_french_onion_87434
7,8,Roast chicken with sage and onion stuffing,overnight,1 to 2 hours,4,"{""chicken"": ""1.5-1.8kg/3lb 5oz - 4lb , giblets removed, trussed"", ""butter"": ""15g/\u00bdoz ,"", ""lemon"": ""\u00bd unwaxed , finely grated zest only"", ""white wine"": ""100ml/3\u00bdfl oz dry"", ""black pepper"": ""salt and freshly ground"", ""onion"": ""1 large , finely chopped"", ""sage"": ""5 leaves fresh , finely chopped (or \u00bd tsp dried )"", ""breadcrumbs"": ""100g/3\u00bdoz fresh white"", ""egg"": ""1 , beaten"", ""sausagemeat"": ""200g/7oz"", ""apple"": ""1 eating , grated"", ""thyme"": ""4 sprigs fresh , finely chopped"", ""flour"": ""1 tbsp plain"", ""chicken stock"": ""300ml/10fl oz""}",dinner,"The day before you roast your chicken, season it inside and out with salt. Loosely wrap it in kitchen paper, then put it in a tub or wrap it securely in foil. Chill it in the fridge. An hour before you want to roast it, remove it from the fridge and allow it to come to room temperature.;Preheat the oven to 220C/200C Fan/Gas 6. ;For the stuffing, melt the butter in a frying pan over a low heat, add the onion and cook until soft and translucent. Put the onion in a bowl and allow to cool, then mix in the lemon zest, sage and breadcrumbs. Season well with salt and pepper and add the egg, mixing thoroughly. (If making the sausagemeat stuffing, do exactly the same, mixing the fried onion with the sausagemeat, apple and herbs.) ;Fill the cavity of the chicken with the stuffing, making sure you leave a little air between the stuffing and the top of the bird to allow the air to circulate. If you have any stuffing left over, you can stuff it into the neck end.;Rub the butter over the chicken, then squeeze the lemon juice over it and put it in a roasting tin. Mix the wine with 100ml/3½fl oz water and pour over the chicken.;Roast for 15 minutes, then turn the heat down to 180C/160C Fan/Gas 4 and roast for a further 60–80 minutes, or until the chicken is cooked through and the juices run clear when it is pierced through the thickest part with a skewer (the cooking time will depend on the size of the chicken). ;Remove the bird from the tin, cover with foil and set aside to rest. Pour off the tin juices and strain off any fat, then set aside. To make the gravy, sprinkle the flour over the tin. Stir over a low heat to make a roux with the scrapings in the bottom of the tin, then pour in the wine. Let this bubble up, then gradually add the pan juices and stock. You can transfer the gravy to a saucepan if you like – the roasting tin should look clean. Simmer until you have a thin, well flavoured gravy.;",,"['65', '153', '139', '169', '89', '218', '124', '84', '110', '232', '171', '229', '144', '283']","[1800, 15, -1, 100, -1, 1, 3, 100, 1, 200, 1, 4, 15, 300]",https://www.bbc.co.uk/food/recipes/roast_chicken_with_sage_46297
8,9,Beef stroganoff,less than 30 mins,10 to 30 mins,2,"{""olive oil"": ""spray"", ""onion"": ""1 large , finely sliced"", ""garlic"": ""3  cloves, finely chopped"", ""beef stock"": ""1  cube"", ""smoked paprika"": ""2 tsp sweet"", ""tomato pur\u00e9e"": ""1 tbsp"", ""beef consomm\u00e9"": ""400g tin  (or beef stock)"", ""chestnut mushrooms"": ""150g/5\u00bdoz , thinly sliced"", ""Dijon mustard"": ""1 tbsp"", ""rump"": ""2  steaks (175g/6oz each), visible fat trimmed"", ""gherkins"": ""60g/2\u00bcoz cornichons or small , sliced"", ""cr\u00e8me fra\u00eeche"": ""75ml/2\u00bdfl oz half-fat"", ""parsley"": ""2 tbsp finely chopped flatleaf"", ""chervil"": ""2 tbsp roughly chopped  or parsley"", ""2 tbsp dried onion flakes"": ""None"", ""black pepper"": ""sea salt and freshly ground"", ""basmati rice"": ""160g/5\u00beoz , freshly cooked""}",dinner,"Heat the light olive oil in a large frying pan over a low–medium heat. Add the onion and cook gently for 10 minutes, or until softened and starting to caramelise.;Stir in the garlic and cook gently for 2 minutes. Crumble in the stock cube and stir in the paprika and tomato purée. Cook, stirring, for 2 minutes. Add the beef consommé, mushrooms and mustard. Bring to the boil then lower the heat and simmer for 10–15 minutes, or until the volume of liquid has reduced by half.;Meanwhile, place a griddle pan over a high heat. Bash the steaks between two sheets of cling film, until about 5mm/¼in thick. Spray each side with six sprays of oil and season with salt and pepper. When the griddle is smoking hot, add the steaks and cook for 1 minute on each side. Remove and set aside to rest.;Once the sauce has reduced, remove from the heat and stir through the cornichons, crème fraîche, and most of the parsley and chervil (reserving some for garnishing). Stir in the juices from the resting meat and check the seasoning. Cut the meat into thick slices and stir into the sauce.;Mix together the dried onion flakes and reserved chopped parsley and chervil. Serve the stroganoff sprinkled with the onion and herb mix, with the rice on the side, if you like.;",,"['114', '218', '248', '78', '57', 138, 7, 162, 128, '185', '12', 102, '289', '272', 159, '89', '34']","[-1, 1, 3, 1, 5, 15, 400, 150, 15, 175, 60, 75, 30, 30, -1, 160]",https://www.bbc.co.uk/food/recipes/beef_stroganoff_16029
9,10,How to make fish pie,less than 30 mins,30 mins to 1 hour,4,"{""potatoes"": ""1kg/2lb 4oz , cut into 5cm/2in chunks"", ""butter"": ""50g/2oz , plus 25g/1oz for dotting on top of the pie"", ""cr\u00e8me fra\u00eeche"": ""100g/3\u00bd oz"", ""milk"": ""500ml/1 pint"", ""white pepper"": ""pinch salt and"", ""smoked haddock"": ""250g/9oz"", ""cod"": ""200g/7oz  loin"", ""onion"": ""1"", ""bay leaf"": ""1"", ""cloves"": ""3  (optional)"", ""leeks"": ""2 , washed and chopped"", ""olive oil"": ""1 tbsp"", ""flour"": ""3 tbsp plain"", ""prawns"": ""100g/3\u00bdoz raw king"", ""peas"": ""50g/2oz frozen"", ""parsley"": ""1 tbsp finely chopped"", ""lemon"": ""1 unwaxed , finely grated zest only""}",dinner,"Preheat the oven to 190C/170C Fan/Gas 5.;Boil potatoes until tender. Drain and mash them with the butter, crème fraîche and warm milk and season with salt and pepper. Set aside and keep warm.;Heat the milk in a large pan, then add the smoked haddock and cod. Cut the onion in half, make an incision in one of the halves and insert the bay leaf. Push the cloves into the same onion half and place this into the pan with the milk and fish. Bring the milk to the boil, then reduce the heat and simmer gently for 6–7 minutes. ;Meanwhile, finely chop the remaining onion half and the leeks. Heat the butter with the olive oil in a small frying pan and gently fry the onion and leeks for 4–5 minutes, until softened but not browned. ;Remove the fish from the pan, and set aside to cool slightly. Keep the milk in the pan. ;Add the flour to the leeks and stir well. Fry for 1 minute, stirring frequently. Gradually spoon in the milk from poaching the fish, and stir it in well each time. Add all the milk in this way, and heat gently until the sauce has thickened. Taste the sauce for seasoning, and add more salt or pepper if necessary.;Break the fish into chunks, being careful to feel for any bones and remove any skin, then fold the fish pieces into the sauce. Add the raw prawns and frozen peas to the mixture.;Place an ovenproof pie dish onto a baking tray (this will catch any of the mix that bubbles over when cooking). Spoon the fish mixture into the bottom of the dish. Sprinkle the parsley and lemon zest over the top. ;Carefully top with the cooled mashed potato. Use a fork to spread the mash over the pie and create a rough texture on top. Dot the pie with the remaining half of the butter and place in the oven for 25–30 minutes, or until golden-brown and bubbling.;",,"['282', '153', '102', '168', '149', '85', '140', '218', '71', '199', 135, '114', '144', 36, '274', '289', '139']","[1000, 50, 100, 500, -1, 250, 200, 1, 1, 3, 2, 15, 45, 100, 50, 15, 1]",https://www.bbc.co.uk/food/recipes/how_to_make_fish_pie_56143
